freq,citizen,sex,unit,age,asyl_app,geo\TIME_PERIOD	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,EXT_EU27_2020,T,PER,TOTAL,NASY_APP,EE	95 	145 	225 	150 	180 	90 	100 	45 	75 	2940 	3980 	1330 
A,EXT_EU27_2020,T,PER,TOTAL,NASY_APP,EL	7860 	7585 	11370 	49875 	56940 	64975 	74910 	37860 	22660 	29125 	57895 	69000 
A,EXT_EU27_2020,T,PER,TOTAL,NASY_APP,ES	4285 	5460 	14600 	15570 	33035 	52730 	115175 	86380 	62050 	116135 	160460 	164010 
A,EXT_EU27_2020,T,PER,TOTAL,NASY_APP,EU27_2020	: 	530560 	1216860 	1166815 	620265 	564680 	628930 	415235 	535985 	873680 	1049510 	911960 e
A,EXT_EU27_2020,T,PER,TOTAL,NASY_APP,FI	2985 	3490 	32150 	5275 	4330 	2950 	2445 	1445 	1355 	4815 	4450 	2260 
A,EXT_EU27_2020,T,PER,TOTAL,NASY_APP,FR	60475 	58845 	70570 	76790 	91965 	126580 	138290 	81735 	103790 	137510 	145055 	130860 
A,EXT_EU27_2020,T,PER,TOTAL,NASY_APP,HR	1045 	380 	140 	2150 	880 	675 	1265 	1540 	2480 	2660 	1635 	1000 
A,EXT_EU27_2020,T,PER,TOTAL,NASY_APP,HU	18565 	41215 	174435 	28215 	3115 	635 	465 	90 	40 	45 	30 	25 
A,EXT_EU27_2020,T,PER,TOTAL,NASY_APP,IE	940 	1440 	3270 	2235 	2910 	3655 	4740 	1535 	2615 	13645 	13220 	18435 
A,EXT_EU27_2020,T,PER,TOTAL,NASY_APP,IS	: 	: 	360 	1100 	1065 	730 	805 	625 	865 	4530 	4120 	1860 
A,EXT_EU27_2020,T,PER,TOTAL,NASY_APP,IT	25720 	63655 	82790 	121185 	126550 	53440 	35005 	21330 	45200 	77200 	130565 	151120 
A,EXT_EU27_2020,T,PER,TOTAL,NASY_APP,LI	: 	: 	: 	75 	145 	145 	40 	25 	80 	70 	70 	75 
A,EXT_EU27_2020,T,PER,TOTAL,NASY_APP,LT	250 	385 	275 	415 	520 	385 	625 	260 	3905 	905 	510 	295 
A,EXT_EU27_2020,T,PER,TOTAL,NASY_APP,LU	990 	1030 	2360 	2065 	2320 	2225 	2200 	1295 	1365 	2405 	2615 	2125 
A,EXT_EU27_2020,T,PER,TOTAL,NASY_APP,LV	185 	365 	330 	345 	355 	175 	180 	145 	580 	545 	1625 	800 
A,EXT_EU27_2020,T,PER,TOTAL,NASY_APP,ME	: 	: 	: 	: 	: 	3100 	1920 	540 	270 	175 	145 	125 
A,EXT_EU27_2020,T,PER,TOTAL,NASY_APP,MT	2200 	1275 	1695 	1735 	1610 	2035 	4015 	2410 	1200 	915 	490 	440 
A,EXT_EU27_2020,T,PER,TOTAL,NASY_APP,NL	9815 	21780 	43035 	19285 	16090 	20465 	22485 	13660 	24730 	35500 	38320 	31925 
A,EXT_EU27_2020,T,PER,TOTAL,NASY_APP,NO	11430 	10910 	30475 	3245 	3350 	2530 	2165 	1325 	1595 	4650 	5135 	4800 
A,EXT_EU27_2020,T,PER,TOTAL,NASY_APP,PL	13970 	5610 	10255 	9780 	3005 	2405 	2765 	1510 	6240 	7700 	7720 	14445 
A,EXT_EU27_2020,T,PER,TOTAL,NASY_APP,PT	500 	440 	870 	710 	1015 	1240 	1735 	900 	1350 	1975 	2600 	: 
A,EXT_EU27_2020,T,PER,TOTAL,NASY_APP,RO	1405 	1500 	1225 	1855 	4700 	1945 	2455 	6025 	9065 	12065 	9875 	2265 
A,EXT_EU27_2020,T,PER,TOTAL,NASY_APP,SE	49230 	74980 	156115 	22335 	22190 	18635 	20770 	11765 	9015 	13180 	8945 	6755 
A,EXT_EU27_2020,T,PER,TOTAL,NASY_APP,SI	240 	355 	260 	1265 	1435 	2800 	3615 	3465 	5220 	6645 	7185 	5465 
A,EXT_EU27_2020,T,PER,TOTAL,NASY_APP,SK	290 	230 	270 	100 	150 	155 	215 	265 	330 	500 	370 	135 
A,EXT_EU27_2020,T,PER,TOTAL,NASY_APP,UK	29640 	32120 	39720 	39240 	34355 	38400 	44250 	: 	: 	: 	: 	: 
A,EXT_EU27_2020,T,PER,TOTAL,SSEQ,AT	: 	: 	: 	: 	: 	: 	: 	: 	2010 	2470 	3075 	3105 
A,EXT_EU27_2020,T,PER,TOTAL,SSEQ,BE	: 	: 	: 	: 	: 	: 	: 	: 	5425 	4640 	5900 	6460 
A,EXT_EU27_2020,T,PER,TOTAL,SSEQ,BG	: 	: 	: 	: 	: 	: 	: 	: 	100 	125 	115 	120 
A,EXT_EU27_2020,T,PER,TOTAL,SSEQ,CH	: 	: 	: 	: 	: 	: 	: 	: 	1630 	1380 	3320 	4985 
A,EXT_EU27_2020,T,PER,TOTAL,SSEQ,CY	: 	: 	: 	: 	: 	: 	: 	: 	: m	: m	: m	1895 
A,EXT_EU27_2020,T,PER,TOTAL,SSEQ,CZ	: 	: 	: 	: 	: 	: 	: 	: 	350 	350 	275 	330 
A,EXT_EU27_2020,T,PER,TOTAL,SSEQ,DE	: 	: 	: 	: 	: 	: 	: 	: 	42450 	26200 	22640 	21005 
A,EXT_EU27_2020,T,PER,TOTAL,SSEQ,DK	: 	: 	: 	: 	: 	: 	: 	: 	: m	: m	: m	: m
A,EXT_EU27_2020,T,PER,TOTAL,SSEQ,EE	: 	: 	: 	: 	: 	: 	: 	: 	5 	0 	5 	25 
A,EXT_EU27_2020,T,PER,TOTAL,SSEQ,EL	: 	: 	: 	: 	: 	: 	: 	: 	5695 	8245 	6325 	4690 
A,EXT_EU27_2020,T,PER,TOTAL,SSEQ,ES	: 	: 	: 	: 	: 	: 	: 	: 	3245 	1805 	1965 	2140 
A,EXT_EU27_2020,T,PER,TOTAL,SSEQ,EU27_2020	: 	: 	: 	: 	: 	: 	: 	: 	97045 	80705 	76155 	83375 e
A,EXT_EU27_2020,T,PER,TOTAL,SSEQ,FI	: 	: 	: 	: 	: 	: 	: 	: 	1155 	955 	860 	560 
A,EXT_EU27_2020,T,PER,TOTAL,SSEQ,FR	: 	: 	: 	: 	: 	: 	: 	: 	16605 	18590 	21885 	26990 
A,EXT_EU27_2020,T,PER,TOTAL,SSEQ,HR	: 	: 	: 	: 	: 	: 	: 	: 	70 	65 	115 	115 
A,EXT_EU27_2020,T,PER,TOTAL,SSEQ,HU	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	5 	0 
A,EXT_EU27_2020,T,PER,TOTAL,SSEQ,IE	: 	: 	: 	: 	: 	: 	: 	: 	40 	10 	50 	125 
A,EXT_EU27_2020,T,PER,TOTAL,SSEQ,IS	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	20 	50 
A,EXT_EU27_2020,T,PER,TOTAL,SSEQ,IT	: 	: 	: 	: 	: 	: 	: 	: 	8410 	7090 	5255 	7485 
A,EXT_EU27_2020,T,PER,TOTAL,SSEQ,LI	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 
A,EXT_EU27_2020,T,PER,TOTAL,SSEQ,LT	: 	: 	: 	: 	: 	: 	: 	: 	45 	120 	65 	65 
A,EXT_EU27_2020,T,PER,TOTAL,SSEQ,LU	: 	: 	: 	: 	: 	: 	: 	: 	45 	50 	70 	75 
A,EXT_EU27_2020,T,PER,TOTAL,SSEQ,LV	: 	: 	: 	: 	: 	: 	: 	: 	35 	75 	75 	240 
A,EXT_EU27_2020,T,PER,TOTAL,SSEQ,ME	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 
A,EXT_EU27_2020,T,PER,TOTAL,SSEQ,MT	: 	: 	: 	: 	: 	: 	: 	: 	40 	50 	75 	60 
A,EXT_EU27_2020,T,PER,TOTAL,SSEQ,NL	: 	: 	: 	: 	: 	: 	: 	: 	1810 	1525 	1390 	1510 
A,EXT_EU27_2020,T,PER,TOTAL,SSEQ,NO	: 	: 	: 	: 	: 	: 	: 	: 	60 	55 	50 	40 
A,EXT_EU27_2020,T,PER,TOTAL,SSEQ,PL	: 	: 	: 	: 	: 	: 	: 	: 	1560 	2110 	1755 	2450 
A,EXT_EU27_2020,T,PER,TOTAL,SSEQ,PT	: 	: 	: 	: 	: 	: 	: 	: 	5 	15 	30 	15 
A,EXT_EU27_2020,T,PER,TOTAL,SSEQ,RO	: 	: 	: 	: 	: 	: 	: 	: 	515 	285 	220 	135 
A,EXT_EU27_2020,T,PER,TOTAL,SSEQ,SE	: 	: 	: 	: 	: 	: 	: 	: 	7370 	5865 	3935 	3705 
A,EXT_EU27_2020,T,PER,TOTAL,SSEQ,SI	: 	: 	: 	: 	: 	: 	: 	: 	45 	35 	45 	65 
A,EXT_EU27_2020,T,PER,TOTAL,SSEQ,SK	: 	: 	: 	: 	: 	: 	: 	: 	15 	20 	15 	10 
