Country,ISO3,citizen,sex,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Slovakia,SVK,NAT,M,2604107,2605148,2608235,2611094,2613689,2616210,2615483,2619889,2616397,2613497
Turkey,TUR,NAT,M,38739286,39201044,39646724,40084692,40538429,40943245,,,41801988,41971399
Austria,AUT,NAT,T,7438848,7432797,7430935,7426387,7419852,7414841,7401592,7392220,7374952,7357884
Belgium,BEL,NAT,T,9960371,9977874,9997952,10022157,10041769,10069121,10075908,10102757,10127198,10159203
Bulgaria,BGR,NAT,T,6963308,6863112,6767835,6668711,6565004,6457589,6410333,6417071,6362447,6322795
Switzerland,CHE,NAT,T,6239207,6278459,6318404,6357738,6396252,6430658,6459512,6494610,6519362,6544970
Cyprus,CYP,NAT,T,694739,701051,706845,713471,720289,727000,730446,734644,729624,734380
Czechia,CZE,NAT,T,10080950,10077497,10067977,10094632,10092342,10107293,10006304,9978470,9972441,9954995
Germany,DEU,NAT,T,73657763,73523726,73301664,73113483,72929921,72768689,72569978,72344071,71623366,71347057
Denmark,DNK,NAT,T,5237156,5244104,5263783,5275198,5280183,5285641,5300551,5311172,5311487,5311255
Estonia,EST,NAT,T,1117187,1117693,1119146,1121670,1125290,1128559,1128816,1128413,1128387,1127312
Spain,ESP,NAT,T,41971737,41999550,42079740,42067748,42068189,42076772,41998096,41977709,41995741,42117413
Finland,FIN,NAT,T,5252078,5257543,5259658,5263678,5260347,5257663,5254876,5251777,5240284,5230878
France,FRA,NAT,T,62026777,62093598,62204147,62075507,62248300,62300046,62426058,62633664,62648487,62438850
Croatia,HRV,NAT,T,4155133,4105450,4053451,3989351,3944089,3908418,3866581,3826213,3780514,3746587
Hungary,HUN,NAT,T,9669890,9623046,9588725,9551846,9519499,9489419,9456970,9407878,9373477,9333715
Ireland,IRL,NAT,T,4145431,4180236,4233335,4272314,4327732,4371064,4422652,4496343,4512304,4533125
Iceland,ISL,NAT,T,304806,306044,308074,310620,312721,314741,317459,321246,322681,320057
Italy,ITA,NAT,T,55460252,55332670,55248101,55054318,54820515,54601851,54064319,53999417,53855860,53717572
Liechtenstein,LIE,NAT,T,24787,24847,25015,25173,25321,25485,25588,25781,26043,26294
Lithuania,LTU,NAT,T,2905145,2875299,2839273,2806218,2791018,2788359,2790760,2771688,2758906,2749846
Luxembourg,LUX,NAT,T,304279,307074,309170,313771,322430,329643,335304,341230,347402,354372
Latvia,LVA,NAT,T,1687663,1680011,1670670,1661848,1653343,1647270,1640782,1630747,1621208,1613838
Malta,MLT,NAT,T,399632,400355,401239,401940,402498,402940,403463,403794,404675,405075
Netherlands,NLD,NAT,T,16053457,16078619,16109209,16140279,16171304,16215276,16272450,16334426,16365940,16398845
Norway,NOR,NAT,T,4653648,4675762,4699099,4727850,4743979,4763064,4789802,4839260,4878100,4916809
Poland,POL,NAT,T,37891051,37811676,37756724,37731606,37683061,37599899,36623052,36445251,36314890,36187908
Portugal,PRT,NAT,T,10028252,10007593,9974398,9947827,9891633,9854908,9798503,9777770,9731570,9594328
Romania,ROU,NAT,T,19781848,19653350,19529547,19419128,19293182,19188760,19057045,,18842082,18834918
Sweden,SWE,NAT,T,9007920,9068184,9143204,9222906,9297919,9387009,9473972,9571500,9656300,9707612
Slovenia,SVN,NAT,T,1961342,1956422,1951457,1945005,1942715,1939510,1940326,1934738,1927176,1920676
Slovakia,SVK,NAT,T,5359583,5360412,5365648,5370237,5374305,5378937,5377706,5371646,5364540,5358701
Turkey,TUR,NAT,T,77177625,78090745,78998461,79891464,80792848,81623817,,,83455717,83801834
Austria,AUT,NEU28_FOR,F,273598,299346,315126,325235,330709,337247,,,,
Belgium,BEL,NEU28_FOR,F,207261,217894,222288,227643,236805,246204,,,,
Switzerland,CHE,NEU28_FOR,F,343734,351194,361105,367181,372459,378428,,,,
Cyprus,CYP,NEU28_FOR,F,23908,19131,18581,20651,22065,24437,,,,
Czechia,CZE,NEU28_FOR,F,124062,128324,138694,137408,148392,153270,,,,
Germany,DEU,NEU28_FOR,F,2040047,2287929,2459780,2588147,2712507,2836155,,,,
Denmark,DNK,NEU28_FOR,F,129157,139621,143129,148448,153342,156011,,,,
Estonia,EST,NEU28_FOR,F,91491,90689,89321,88156,87654,87493,,,,
Spain,ESP,NEU28_FOR,F,1254552,1257713,1270247,1364400,1493723,1667537,,,,
Finland,FIN,NEU28_FOR,F,62300,64764,68679,70444,73270,77154,,,,
France,FRA,NEU28_FOR,F,1467866,1516288,1526920,1701255,1741369,1813020,,,,
Croatia,HRV,NEU28_FOR,F,8884,8722,8511,8360,8205,8163,,,,
Hungary,HUN,NEU28_FOR,F,29917,32931,32720,36869,44363,49189,,,,
Ireland,IRL,NEU28_FOR,F,58979,61916,70751,79721,90034,103117,,,,
Iceland,ISL,NEU28_FOR,F,2405,2483,2733,3084,3545,4059,,,,
Italy,ITA,NEU28_FOR,F,1734563,1685680,1657347,1661545,1694847,1718571,,,,
Liechtenstein,LIE,NEU28_FOR,F,3036,3095,3093,3107,3131,3205,,,,
Lithuania,LTU,NEU28_FOR,F,7662,7467,7429,7420,7815,8090,,,,
Luxembourg,LUX,NEU28_FOR,F,18058,19168,21212,22593,23490,25240,,,,
Latvia,LVA,NEU28_FOR,F,156567,151605,146766,142333,137929,133824,,,,
Malta,MLT,NEU28_FOR,F,8469,10960,12749,13726,19517,24375,,,,
Netherlands,NLD,NEU28_FOR,F,177864,190288,209324,229093,247622,268259,,,,
Norway,NOR,NEU28_FOR,F,98119,102661,108710,110055,115753,,,,,
Poland,POL,NEU28_FOR,F,39281,56772,78749,92537,111766,138307,,,,
Portugal,PRT,NEU28_FOR,F,141007,135521,134274,133318,148065,173566,,,,
Romania,ROU,NEU28_FOR,F,21678,23049,24095,22597,23813,27443,,,,
Sweden,SWE,NEU28_FOR,F,198863,210489,232074,247592,263553,269452,,,,
Slovenia,SVN,NEU28_FOR,F,27941,30820,33286,35827,39655,44234,,,,
Slovakia,SVK,NEU28_FOR,F,6092,6426,6768,7110,7508,7847,,,,
Turkey,TUR,NEU28_FOR,F,202231,263630,341183,395953,531754,663590,,,,
Austria,AUT,NEU28_FOR,M,292772,340299,358081,362217,361764,363354,,,,
Belgium,BEL,NEU28_FOR,M,212561,232933,232820,234792,241522,250392,,,,
Switzerland,CHE,NEU28_FOR,M,330340,338110,354947,359885,361713,364321,,,,
Cyprus,CYP,NEU28_FOR,M,14334,11348,11157,13981,15745,17767,,,,
Czechia,CZE,NEU28_FOR,M,148931,152583,163885,158664,176555,188376,,,,
Germany,DEU,NEU28_FOR,M,2015274,2552721,2763921,2874121,2981597,3096089,,,,
Denmark,DNK,NEU28_FOR,M,115223,127571,131861,136089,139651,141994,,,,
Estonia,EST,NEU28_FOR,M,91785,91577,90567,90114,90613,91298,,,,
Spain,ESP,NEU28_FOR,M,1303776,1296276,1300815,1375782,1499917,1676565,,,,
Finland,FIN,NEU28_FOR,M,65492,68372,75078,78047,81786,86602,,,,
France,FRA,NEU28_FOR,M,1464283,1504786,1522119,1679771,1723771,1786915,,,,
Croatia,HRV,NEU28_FOR,M,7565,7741,7890,8102,8427,9402,,,,
Hungary,HUN,NEU28_FOR,M,34904,38131,38694,46549,61782,69345,,,,
Ireland,IRL,NEU28_FOR,M,58036,62793,71406,80000,92812,105218,,,,
Iceland,ISL,NEU28_FOR,M,1963,2052,2307,2728,3165,3654,,,,
Italy,ITA,NEU28_FOR,M,1704155,1680773,1683891,1732305,1800024,1816007,,,,
Liechtenstein,LIE,NEU28_FOR,M,2992,2989,2963,2988,3006,3052,,,,
Lithuania,LTU,NEU28_FOR,M,9248,8880,8868,9455,10420,10629,,,,
Luxembourg,LUX,NEU28_FOR,M,18371,20450,19583,20845,21540,22970,,,,
Latvia,LVA,NEU28_FOR,M,134873,131187,126567,123834,122099,119834,,,,
Malta,MLT,NEU28_FOR,M,12266,15493,17160,20296,27812,39282,,,,
Netherlands,NLD,NEU28_FOR,M,160909,177456,204077,222104,239892,261471,,,,
Norway,NOR,NEU28_FOR,M,84117,89916,98709,101387,105600,,,,,
Poland,POL,NEU28_FOR,M,37314,67154,101585,116037,145741,182735,,,,
Portugal,PRT,NEU28_FOR,M,126145,120730,118191,118257,135413,167511,,,,
Romania,ROU,NEU28_FOR,M,33009,35809,36381,34653,36705,48468,,,,
Sweden,SWE,NEU28_FOR,M,217383,237175,273258,296329,314845,318499,,,,
Slovenia,SVN,NEU28_FOR,M,56426,59349,62432,66508,77838,90594,,,,
Slovakia,SVK,NEU28_FOR,M,6972,7475,7919,8329,8805,9285,,,,
Turkey,TUR,NEU28_FOR,M,181479,241274,325739,384279,530128,694096,,,,
Austria,AUT,NEU28_FOR,T,566370,639645,673207,687452,692473,700601,,,,
Belgium,BEL,NEU28_FOR,T,419822,450827,455108,462435,478327,496596,,,,
Switzerland,CHE,NEU28_FOR,T,674074,689304,716052,727066,734172,742749,,,,
Cyprus,CYP,NEU28_FOR,T,38242,30479,29738,34632,37810,42204,,,,
Czechia,CZE,NEU28_FOR,T,272993,280907,302579,296072,324947,341646,,,,
Germany,DEU,NEU28_FOR,T,4055321,4840650,5223701,5462268,5694104,5932244,,,,
Denmark,DNK,NEU28_FOR,T,244380,267192,274990,284537,292993,298005,,,,
Estonia,EST,NEU28_FOR,T,183276,182266,179888,178270,178267,178791,,,,
Spain,ESP,NEU28_FOR,T,2558328,2553989,2571062,2740182,2993640,3344102,,,,
Finland,FIN,NEU28_FOR,T,127792,133136,143757,148491,155056,163756,,,,
France,FRA,NEU28_FOR,T,2932149,3021074,3049039,3381026,3465140,3599935,,,,
Croatia,HRV,NEU28_FOR,T,16449,16463,16401,16462,16632,17565,,,,
Hungary,HUN,NEU28_FOR,T,64821,71062,71414,83418,106145,118534,,,,
Ireland,IRL,NEU28_FOR,T,117015,124709,142157,159721,182846,208335,,,,
Iceland,ISL,NEU28_FOR,T,4368,4535,5040,5812,6710,7713,,,,
Italy,ITA,NEU28_FOR,T,3438718,3366453,3341238,3393850,3494871,3534578,,,,
Liechtenstein,LIE,NEU28_FOR,T,6028,6084,6056,6095,6137,6257,,,,
Lithuania,LTU,NEU28_FOR,T,16910,16347,16297,16875,18235,18719,,,,
Luxembourg,LUX,NEU28_FOR,T,36429,39618,40795,43438,45030,48210,,,,
Latvia,LVA,NEU28_FOR,T,291440,282792,273333,266167,260028,253658,,,,
Malta,MLT,NEU28_FOR,T,20735,26453,29909,34022,47329,63657,,,,
Netherlands,NLD,NEU28_FOR,T,338773,367744,413401,451197,487514,529730,,,,
Norway,NOR,NEU28_FOR,T,182236,192577,207419,211442,221353,,,,,
Poland,POL,NEU28_FOR,T,76595,123926,180334,208574,257507,321042,,,,
Portugal,PRT,NEU28_FOR,T,267152,256251,252465,251575,283478,341077,,,,
Romania,ROU,NEU28_FOR,T,54687,58858,60476,57250,60518,75911,,,,
Sweden,SWE,NEU28_FOR,T,416246,447664,505332,543921,578398,587951,,,,
Slovenia,SVN,NEU28_FOR,T,84367,90169,95718,102335,117493,134828,,,,
Slovakia,SVK,NEU28_FOR,T,13064,13901,14687,15439,16313,17132,,,,
Turkey,TUR,NEU28_FOR,T,383710,504904,666922,780232,1061882,1357686,,,,
Austria,AUT,STLS,F,1046,1475,1739,1799,1771,1712,1703,1727,1799,1827
Belgium,BEL,STLS,F,233,249,289,308,372,366,348,300,276,270
Bulgaria,BGR,STLS,F,,,,,,,,,233,231
Switzerland,CHE,STLS,F,101,130,154,165,159,167,201,215,260,316
Cyprus,CYP,STLS,F,0,0,0,0,0,0,0,0,0,0
Czechia,CZE,STLS,F,0,0,0,0,0,0,87,80,79,68
Germany,DEU,STLS,F,3436,3773,4031,4290,4355,4367,4413,4467,8382,7839
Denmark,DNK,STLS,F,2250,2893,3396,3569,3761,3921,3892,3915,3870,3875
Estonia,EST,STLS,F,0,0,0,0,0,0,0,0,0,0
Spain,ESP,STLS,F,523,586,703,803,990,1122,1230,1414,1629,1800
Finland,FIN,STLS,F,341,363,429,467,496,517,532,537,527,513
France,FRA,STLS,F,0,0,0,0,0,0,0,0,0,0
Croatia,HRV,STLS,F,331,313,289,278,259,243,217,217,217,217
Hungary,HUN,STLS,F,49,58,49,36,35,38,40,34,32,35
Ireland,IRL,STLS,F,1211,1558,224,229,264,251,316,332,368,424
Iceland,ISL,STLS,F,53,47,35,31,20,18,0,0,0,0
Italy,ITA,STLS,F,215,440,391,201,274,258,211,293,298,201
Liechtenstein,LIE,STLS,F,0,1,0,0,0,0,0,0,0,0
Lithuania,LTU,STLS,F,506,454,422,379,324,305,941,923,856,820
Luxembourg,LUX,STLS,F,33,29,72,76,77,80,82,75,72,65
Latvia,LVA,STLS,F,88,84,86,85,81,80,70,69,71,73
Malta,MLT,STLS,F,0,0,0,0,0,0,0,0,0,0
Netherlands,NLD,STLS,F,1373,3334,5059,6363,5799,3969,2644,2255,2150,1932
Norway,NOR,STLS,F,796,1028,1332,1382,1241,1015,838,769,830,844
Poland,POL,STLS,F,759,271,261,267,273,273,297,296,296,287
Portugal,PRT,STLS,F,4,0,0,12,11,14,14,11,9,5
Romania,ROU,STLS,F,111,115,120,115,107,93,97,,112,112
Sweden,SWE,STLS,F,8080,9122,10720,10382,8934,7993,6577,5256,4165,3571
Slovenia,SVN,STLS,F,0,0,0,0,0,0,0,0,0,0
Slovakia,SVK,STLS,F,548,548,547,546,546,546,546,3,3,3
Turkey,TUR,STLS,F,75,30,50,82,128,152,,,178,161
Austria,AUT,STLS,M,2022,2667,2769,2717,2652,2543,2589,2764,2942,2952
Belgium,BEL,STLS,M,412,467,573,621,674,653,617,492,443,422
Bulgaria,BGR,STLS,M,,,,,,,,,330,337
Switzerland,CHE,STLS,M,159,209,254,296,306,316,339,363,457,554
Cyprus,CYP,STLS,M,0,0,0,0,0,0,0,0,0,0
Czechia,CZE,STLS,M,0,0,0,0,0,0,186,177,176,164
Germany,DEU,STLS,M,5525,6491,7092,7116,7139,6993,6947,6688,12090,11044
